clickability_test_id,n_variants,mean_ctr,max_ctr,min_ctr,total_impr,total_clicks,ctr_range,rel_lift
51436061220cb800020001e7,4,0.021031929242272228,0.025865348041080257,0.01528812230497844,10380,219,0.010577225736101818,0.5029127672625759
51436069220cb800020005ae,5,0.011279669443914467,0.022155085599194362,0.007692307692307693,9797,111,0.01446277790688667,1.2821987363015794
51436069220cb800020005bd,2,0.018182431482078633,0.019769673704414587,0.016595189259742682,10573,192,0.003174484444671905,0.17459075524639323
5143606a220cb800020005c6,4,0.013739378059624045,0.021524990879241153,0.009410061527325372,11079,152,0.012114929351915781,0.8817669402021888
5143606b220cb800020005d7,5,0.016148371382353872,0.024444444444444446,0.006610841780520053,11062,178,0.01783360266392439,1.1043592100818325
5143606d220cb80002000643,4,0.007946478403643598,0.01211372064276885,0.0038461538461538464,16385,130,0.008267566796615004,1.0404063758386586
5143606e220cb800020006ba,4,0.03372818546817173,0.04038893044128646,0.025941719971570718,10912,367,0.014447210469715744,0.4283423572652356
51436070220cb80002000748,3,0.02485612823390979,0.02785673678226265,0.021287919105907396,10698,265,0.006568817676355254,0.2642735672482488
51436071220cb8000200077c,4,0.020496287025935034,0.025602409638554216,0.01443620756925478,10527,216,0.011166202069299436,0.5447914568707128
51436071220cb80002000788,4,0.020637774588466634,0.02887426900584795,0.01349787890474354,10602,220,0.015376390101104411,0.7450604732206673
51436073220cb8000200079c,4,0.006661481518943935,0.01020408163265306,0.0039118065433854906,10923,72,0.00629227508926757,0.9445759282486313
51436073220cb800020007a7,4,0.012354171607468259,0.014652014652014652,0.010718113612004287,11188,138,0.003933901040010365,0.3184269382847386
51436074220cb800020007af,4,0.009269571190620756,0.00981423063441991,0.008029197080291971,11210,104,0.001785033554127938,0.19256916176813996
51436074220cb800020007b0,4,0.005231392434010369,0.006597222222222222,0.0041279669762641896,11278,59,0.0024692552459580326,0.47200726711016583
51436074220cb800020007b2,4,0.013249728317165399,0.013988522238163558,0.012265235722499043,10557,140,0.0017232865156645155,0.13006202651204168
